ID_Accident,Rue,Cause,Type_Vehicule,Profession_Conducteur,Gravite,Heure,Age_Conducteur,Sexe_Conducteur,Date,Annee,Mois,Mois_Nom,Jour_Semaine,Latitude,Longitude,Conditions_Meteo
ACC-00024,Boulevard du 20 Mai,Conduite en état d'ébriété,Véhicule utilitaire,Particulier,Dommages matériels,15,18,Homme,2022-09-29,2022,9,September,Jeudi,3.864269053436714,11.517238307980946,Nuit
ACC-00025,Carrefour Pharmacie du Soleil,Utilisation du téléphone,Moto,Particulier,Dommages matériels,19,34,Homme,2020-05-13,2020,5,May,Mercredi,3.8671058413609636,11.516773975142678,Clair
ACC-00026,Avenue de l'Indépendance,Excès de vitesse,Taxi,Particulier,Dommages matériels,20,53,Homme,2021-09-05,2021,9,September,Dimanche,3.863,11.521,Pluie
ACC-00027,Carrefour Poste Centrale,Excès de vitesse,Véhicule tourisme,Particulier,Blessures corporelles,15,54,Homme,2021-10-10,2021,10,October,Dimanche,3.861742800875151,11.520971943019246,Clair
ACC-00028,Carrefour Pharmacie du Soleil,Infrastructure déficiente,Véhicule tourisme,Particulier,Blessures corporelles,19,54,Femme,2023-11-28,2023,11,November,Mardi,3.8671058413609636,11.516773975142678,Clair
ACC-00029,Avenue Amadou Ahidjo,Excès de vitesse,Véhicule utilitaire,Particulier,Dommages matériels,18,42,Homme,2024-02-25,2024,2,February,Dimanche,3.866,11.518,Clair
ACC-00030,Carrefour Poste Centrale,Infrastructure déficiente,Véhicule tourisme,Particulier,Dommages matériels,19,52,Femme,2023-05-30,2023,5,May,Mardi,3.861742800875151,11.520971943019246,Clair
ACC-00031,Avenue Amadou Ahidjo,Non-respect des priorités,Véhicule tourisme,Chauffeur professionnel,Dommages matériels,13,32,Homme,2020-08-16,2020,8,August,Dimanche,3.866,11.518,Clair
ACC-00032,Carrefour Poste Centrale,Défaillance technique,Taxi,Chauffeur professionnel,Mortels,5,27,Homme,2024-01-15,2024,1,January,Lundi,3.861742800875151,11.520971943019246,Nuit
ACC-00033,Carrefour Poste Centrale,Excès de vitesse,Taxi,Chauffeur professionnel,Blessures corporelles,19,52,Homme,2022-09-24,2022,9,September,Samedi,3.861742800875151,11.520971943019246,Clair
ACC-00034,Rue de Natchigal,Excès de vitesse,Taxi,Particulier,Blessures corporelles,11,39,Homme,2023-08-22,2023,8,August,Mardi,3.862,11.519,Clair
ACC-00035,Rue de Natchigal,Utilisation du téléphone,Véhicule tourisme,Transporteur,Dommages matériels,21,18,Homme,2020-04-28,2020,4,April,Mardi,3.862,11.519,Clair
ACC-00036,Avenue de l'Indépendance,Défaillance technique,Véhicule tourisme,Particulier,Dommages matériels,21,53,Homme,2024-06-22,2024,6,June,Samedi,3.863,11.521,Clair
ACC-00037,Carrefour J'aime mon pays,Utilisation du téléphone,Taxi,Transporteur,Blessures corporelles,19,31,Homme,2022-07-26,2022,7,July,Mardi,3.8659711733356867,11.515636718507722,Nuit
ACC-00038,Carrefour Poste Centrale,Excès de vitesse,Bus,Particulier,Dommages matériels,18,24,Homme,2020-11-19,2020,11,November,Jeudi,3.861742800875151,11.520971943019246,Pluie
ACC-00039,Avenue Amadou Ahidjo,Utilisation du téléphone,Véhicule utilitaire,Particulier,Dommages matériels,18,49,Homme,2022-07-09,2022,7,July,Samedi,3.866,11.518,Clair
ACC-00040,Boulevard du 20 Mai,Utilisation du téléphone,Moto,Particulier,Dommages matériels,17,47,Homme,2020-06-07,2020,6,June,Dimanche,3.864269053436714,11.517238307980946,Nuit
ACC-00041,Carrefour Poste Centrale,Non-respect des priorités,Véhicule utilitaire,Chauffeur professionnel,Blessures corporelles,18,20,Homme,2020-08-26,2020,8,August,Mercredi,3.861742800875151,11.520971943019246,Clair
ACC-00042,Carrefour Pharmacie du Soleil,Utilisation du téléphone,Taxi,Chauffeur professionnel,Dommages matériels,15,32,Homme,2021-01-30,2021,1,January,Samedi,3.8671058413609636,11.516773975142678,Nuit
ACC-00043,Carrefour Poste Centrale,Défaillance technique,Véhicule tourisme,Particulier,Dommages matériels,17,21,Homme,2020-11-15,2020,11,November,Dimanche,3.861742800875151,11.520971943019246,Clair
ACC-00044,Rue de Natchigal,Non-respect des priorités,Véhicule utilitaire,Autre,Dommages matériels,5,21,Homme,2023-04-27,2023,4,April,Jeudi,3.862,11.519,Pluie
ACC-00045,Carrefour J'aime mon pays,Excès de vitesse,Taxi,Chauffeur professionnel,Dommages matériels,16,18,Homme,2020-11-04,2020,11,November,Mercredi,3.8659711733356867,11.515636718507722,Clair
ACC-00046,Avenue Amadou Ahidjo,Conduite en état d'ébriété,Taxi,Chauffeur professionnel,Dommages matériels,19,19,Homme,2020-09-05,2020,9,September,Samedi,3.866,11.518,Nuit
ACC-00047,Carrefour J'aime mon pays,Excès de vitesse,Taxi,Transporteur,Dommages matériels,10,32,Homme,2021-06-21,2021,6,June,Lundi,3.8659711733356867,11.515636718507722,Clair
ACC-00048,Carrefour Pharmacie du Soleil,Conduite en état d'ébriété,Taxi,Particulier,Dommages matériels,18,18,Femme,2021-12-01,2021,12,December,Mercredi,3.8671058413609636,11.516773975142678,Clair
ACC-00049,Rue Narvick,Conduite en état d'ébriété,Véhicule tourisme,Transporteur,Dommages matériels,15,18,Homme,2024-03-09,2024,3,March,Samedi,3.8654733025149355,11.519040752498785,Brouillard
ACC-00050,Carrefour Poste Centrale,Excès de vitesse,Taxi,Particulier,Mortels,18,44,Homme,2021-01-28,2021,1,January,Jeudi,3.861742800875151,11.520971943019246,Clair
ACC-00051,Rue de Natchigal,Excès de vitesse,Véhicule tourisme,Autre,Blessures corporelles,18,18,Homme,2021-10-13,2021,10,October,Mercredi,3.862,11.519,Pluie
ACC-00052,Avenue de l'Indépendance,Excès de vitesse,Moto,Particulier,Dommages matériels,7,32,Homme,2022-10-14,2022,10,October,Vendredi,3.863,11.521,Pluie
ACC-00053,Rue de Natchigal,Utilisation du téléphone,Véhicule tourisme,Particulier,Blessures corporelles,16,18,Homme,2021-02-09,2021,2,February,Mardi,3.862,11.519,Clair
ACC-00054,Rue de Natchigal,Infrastructure déficiente,Véhicule tourisme,Particulier,Dommages matériels,18,41,Femme,2022-09-26,2022,9,September,Lundi,3.862,11.519,Clair
ACC-00055,Avenue Amadou Ahidjo,Excès de vitesse,Véhicule tourisme,Particulier,Dommages matériels,20,30,Femme,2023-04-19,2023,4,April,Mercredi,3.866,11.518,Nuit
ACC-00056,Rue de Natchigal,Infrastructure déficiente,Véhicule utilitaire,Particulier,Dommages matériels,18,21,Homme,2020-01-21,2020,1,January,Mardi,3.862,11.519,Brouillard
ACC-00057,Carrefour Poste Centrale,Conduite en état d'ébriété,Véhicule tourisme,Chauffeur professionnel,Dommages matériels,13,18,Homme,2024-08-25,2024,8,August,Dimanche,3.861742800875151,11.520971943019246,Clair
ACC-00058,Carrefour Poste Centrale,Excès de vitesse,Véhicule tourisme,Particulier,Dommages matériels,10,21,Homme,2024-05-25,2024,5,May,Samedi,3.861742800875151,11.520971943019246,Clair
ACC-00059,Carrefour Poste Centrale,Excès de vitesse,Taxi,Particulier,Dommages matériels,14,44,Femme,2024-06-05,2024,6,June,Mercredi,3.861742800875151,11.520971943019246,Clair
ACC-00060,Carrefour J'aime mon pays,Conduite en état d'ébriété,Véhicule tourisme,Transporteur,Dommages matériels,16,58,Homme,2020-06-03,2020,6,June,Mercredi,3.8659711733356867,11.515636718507722,Clair
ACC-00061,Boulevard du 20 Mai,Utilisation du téléphone,Moto,Particulier,Dommages matériels,12,31,Homme,2022-05-16,2022,5,May,Lundi,3.864269053436714,11.517238307980946,Clair
ACC-00062,Carrefour J'aime mon pays,Utilisation du téléphone,Moto,Particulier,Dommages matériels,20,33,Homme,2021-07-12,2021,7,July,Lundi,3.8659711733356867,11.515636718507722,Brouillard
ACC-00063,Avenue de l'Indépendance,Excès de vitesse,Taxi,Chauffeur professionnel,Dommages matériels,20,24,Femme,2020-07-12,2020,7,July,Dimanche,3.863,11.521,Pluie
ACC-00064,Boulevard du 20 Mai,Excès de vitesse,Véhicule tourisme,Particulier,Dommages matériels,19,53,Femme,2023-06-01,2023,6,June,Jeudi,3.864269053436714,11.517238307980946,Pluie
ACC-00065,Carrefour J'aime mon pays,Conduite en état d'ébriété,Véhicule utilitaire,Particulier,Dommages matériels,19,31,Homme,2021-02-02,2021,2,February,Mardi,3.8659711733356867,11.515636718507722,Clair
ACC-00066,Rue Narvick,Excès de vitesse,Véhicule tourisme,Autre,Dommages matériels,15,48,Homme,2024-11-07,2024,11,November,Jeudi,3.8654733025149355,11.519040752498785,Clair
ACC-00067,Carrefour Poste Centrale,Excès de vitesse,Taxi,Autre,Dommages matériels,18,38,Homme,2020-10-06,2020,10,October,Mardi,3.861742800875151,11.520971943019246,Pluie
ACC-00068,Avenue de l'Indépendance,Excès de vitesse,Véhicule tourisme,Chauffeur professionnel,Dommages matériels,14,36,Homme,2022-09-06,2022,9,September,Mardi,3.863,11.521,Pluie
ACC-00069,Carrefour Poste Centrale,Utilisation du téléphone,Moto,Transporteur,Dommages matériels,17,19,Homme,2022-10-30,2022,10,October,Dimanche,3.861742800875151,11.520971943019246,Pluie
ACC-00070,Rue de Natchigal,Infrastructure déficiente,Véhicule tourisme,Chauffeur professionnel,Blessures corporelles,16,61,Homme,2023-10-31,2023,10,October,Mardi,3.862,11.519,Clair
ACC-00071,Avenue de l'Indépendance,Conduite en état d'ébriété,Taxi,Particulier,Blessures corporelles,15,56,Homme,2021-04-16,2021,4,April,Vendredi,3.863,11.521,Clair
ACC-00072,Carrefour Poste Centrale,Défaillance technique,Véhicule utilitaire,Particulier,Blessures corporelles,20,69,Femme,2020-05-31,2020,5,May,Dimanche,3.861742800875151,11.520971943019246,Clair
ACC-00073,Carrefour Poste Centrale,Excès de vitesse,Taxi,Chauffeur professionnel,Dommages matériels,19,18,Homme,2024-06-27,2024,6,June,Jeudi,3.861742800875151,11.520971943019246,Clair
ACC-00074,Avenue de l'Indépendance,Conduite en état d'ébriété,Véhicule tourisme,Particulier,Dommages matériels,22,38,Homme,2023-02-21,2023,2,February,Mardi,3.863,11.521,Pluie
ACC-00075,Avenue Amadou Ahidjo,Excès de vitesse,Bus,Chauffeur professionnel,Mortels,15,23,Homme,2024-09-16,2024,9,September,Lundi,3.866,11.518,Clair
ACC-00076,Avenue Amadou Ahidjo,Non-respect des priorités,Taxi,Chauffeur professionnel,Dommages matériels,16,41,Homme,2022-03-12,2022,3,March,Samedi,3.866,11.518,Nuit
ACC-00077,Avenue de l'Indépendance,Infrastructure déficiente,Taxi,Particulier,Dommages matériels,15,39,Homme,2021-07-06,2021,7,July,Mardi,3.863,11.521,Clair
ACC-00078,Carrefour Poste Centrale,Non-respect des priorités,Véhicule tourisme,Particulier,Dommages matériels,20,28,Homme,2023-12-18,2023,12,December,Lundi,3.861742800875151,11.520971943019246,Clair
ACC-00079,Boulevard du 20 Mai,Conduite en état d'ébriété,Taxi,Autre,Dommages matériels,14,31,Homme,2024-03-26,2024,3,March,Mardi,3.864269053436714,11.517238307980946,Brouillard
ACC-00080,Carrefour Poste Centrale,Non-respect des priorités,Véhicule tourisme,Particulier,Mortels,14,66,Homme,2021-12-30,2021,12,December,Jeudi,3.861742800875151,11.520971943019246,Clair
ACC-00081,Rue de Natchigal,Excès de vitesse,Véhicule tourisme,Particulier,Dommages matériels,1,32,Homme,2021-05-27,2021,5,May,Jeudi,3.862,11.519,Brouillard
ACC-00082,Avenue Amadou Ahidjo,Défaillance technique,Véhicule tourisme,Particulier,Dommages matériels,19,18,Homme,2022-10-09,2022,10,October,Dimanche,3.866,11.518,Pluie
ACC-00083,Carrefour J'aime mon pays,Conduite en état d'ébriété,Moto,Chauffeur professionnel,Dommages matériels,18,26,Homme,2020-06-19,2020,6,June,Vendredi,3.8659711733356867,11.515636718507722,Nuit
ACC-00084,Carrefour Poste Centrale,Conduite en état d'ébriété,Véhicule tourisme,Chauffeur professionnel,Dommages matériels,2,18,Homme,2022-04-29,2022,4,April,Vendredi,3.861742800875151,11.520971943019246,Clair
ACC-00085,Carrefour J'aime mon pays,Non-respect des priorités,Véhicule tourisme,Particulier,Dommages matériels,20,21,Homme,2022-03-04,2022,3,March,Vendredi,3.8659711733356867,11.515636718507722,Clair
ACC-00086,Carrefour J'aime mon pays,Non-respect des priorités,Taxi,Particulier,Dommages matériels,18,45,Homme,2024-05-07,2024,5,May,Mardi,3.8659711733356867,11.515636718507722,Clair
ACC-00087,Avenue Amadou Ahidjo,Excès de vitesse,Véhicule utilitaire,Particulier,Dommages matériels,5,48,Homme,2020-05-04,2020,5,May,Lundi,3.866,11.518,Pluie
ACC-00088,Avenue Amadou Ahidjo,Non-respect des priorités,Véhicule tourisme,Particulier,Dommages matériels,0,22,Homme,2020-06-23,2020,6,June,Mardi,3.866,11.518,Clair
ACC-00089,Rue de Natchigal,Excès de vitesse,Taxi,Particulier,Dommages matériels,18,26,Femme,2021-05-18,2021,5,May,Mardi,3.862,11.519,Clair
ACC-00090,Carrefour Pharmacie du Soleil,Utilisation du téléphone,Véhicule tourisme,Chauffeur professionnel,Dommages matériels,18,24,Femme,2024-12-05,2024,12,December,Jeudi,3.8671058413609636,11.516773975142678,Clair
ACC-00091,Carrefour Poste Centrale,Défaillance technique,Véhicule tourisme,Chauffeur professionnel,Dommages matériels,17,57,Femme,2024-12-05,2024,12,December,Jeudi,3.861742800875151,11.520971943019246,Clair
ACC-00092,Avenue Amadou Ahidjo,Utilisation du téléphone,Véhicule tourisme,Transporteur,Dommages matériels,1,48,Homme,2023-11-09,2023,11,November,Jeudi,3.866,11.518,Pluie
ACC-00093,Avenue de l'Indépendance,Non-respect des priorités,Moto,Particulier,Dommages matériels,5,45,Homme,2021-12-11,2021,12,December,Samedi,3.863,11.521,Clair
ACC-00094,Rue Narvick,Conduite en état d'ébriété,Véhicule tourisme,Autre,Blessures corporelles,21,19,Homme,2024-11-26,2024,11,November,Mardi,3.8654733025149355,11.519040752498785,Clair
ACC-00095,Avenue de l'Indépendance,Excès de vitesse,Véhicule tourisme,Chauffeur professionnel,Blessures corporelles,16,18,Homme,2024-09-03,2024,9,September,Mardi,3.863,11.521,Clair
ACC-00096,Carrefour Pharmacie du Soleil,Utilisation du téléphone,Véhicule tourisme,Autre,Dommages matériels,17,53,Homme,2024-05-13,2024,5,May,Lundi,3.8671058413609636,11.516773975142678,Pluie
ACC-00097,Carrefour Pharmacie du Soleil,Excès de vitesse,Moto,Chauffeur professionnel,Dommages matériels,5,63,Homme,2020-04-15,2020,4,April,Mercredi,3.8671058413609636,11.516773975142678,Brouillard
ACC-00098,Boulevard du 20 Mai,Conduite en état d'ébriété,Véhicule tourisme,Chauffeur professionnel,Dommages matériels,21,18,Homme,2024-07-18,2024,7,July,Jeudi,3.864269053436714,11.517238307980946,Clair
ACC-00099,Carrefour Poste Centrale,Excès de vitesse,Véhicule tourisme,Autre,Dommages matériels,15,68,Femme,2021-06-11,2021,6,June,Vendredi,3.861742800875151,11.520971943019246,Clair
ACC-00100,Carrefour Poste Centrale,Excès de vitesse,Véhicule tourisme,Particulier,Dommages matériels,17,33,Homme,2020-02-07,2020,2,February,Vendredi,3.861742800875151,11.520971943019246,Clair
ACC-00101,Carrefour Poste Centrale,Non-respect des priorités,Véhicule tourisme,Particulier,Mortels,19,37,Femme,2021-01-29,2021,1,January,Vendredi,3.861742800875151,11.520971943019246,Clair
ACC-00102,Avenue Amadou Ahidjo,Excès de vitesse,Taxi,Chauffeur professionnel,Dommages matériels,20,18,Homme,2024-11-13,2024,11,November,Mercredi,3.866,11.518,Clair
ACC-00103,Carrefour J'aime mon pays,Utilisation du téléphone,Taxi,Particulier,Mortels,18,18,Homme,2022-07-09,2022,7,July,Samedi,3.8659711733356867,11.515636718507722,Clair
ACC-00104,Carrefour Pharmacie du Soleil,Excès de vitesse,Véhicule tourisme,Autre,Dommages matériels,20,18,Femme,2021-04-21,2021,4,April,Mercredi,3.8671058413609636,11.516773975142678,Nuit
ACC-00105,Rue de Natchigal,Excès de vitesse,Véhicule tourisme,Particulier,Dommages matériels,2,50,Homme,2024-01-30,2024,1,January,Mardi,3.862,11.519,Nuit
ACC-00106,Carrefour J'aime mon pays,Conduite en état d'ébriété,Véhicule tourisme,Particulier,Dommages matériels,15,33,Homme,2021-12-22,2021,12,December,Mercredi,3.8659711733356867,11.515636718507722,Clair
ACC-00107,Boulevard du 20 Mai,Excès de vitesse,Véhicule tourisme,Chauffeur professionnel,Dommages matériels,0,41,Homme,2024-03-08,2024,3,March,Vendredi,3.864269053436714,11.517238307980946,Clair
ACC-00108,Avenue de l'Indépendance,Excès de vitesse,Véhicule tourisme,Particulier,Dommages matériels,15,51,Femme,2020-11-10,2020,11,November,Mardi,3.863,11.521,Clair
ACC-00109,Carrefour J'aime mon pays,Utilisation du téléphone,Véhicule utilitaire,Particulier,Dommages matériels,1,33,Homme,2023-08-01,2023,8,August,Mardi,3.8659711733356867,11.515636718507722,Clair
ACC-00110,Carrefour Poste Centrale,Excès de vitesse,Bus,Chauffeur professionnel,Dommages matériels,14,60,Homme,2024-01-27,2024,1,January,Samedi,3.861742800875151,11.520971943019246,Clair
ACC-00111,Carrefour J'aime mon pays,Défaillance technique,Bus,Particulier,Dommages matériels,17,22,Homme,2024-08-30,2024,8,August,Vendredi,3.8659711733356867,11.515636718507722,Pluie
ACC-00112,Carrefour Poste Centrale,Excès de vitesse,Moto,Chauffeur professionnel,Dommages matériels,19,28,Homme,2023-07-11,2023,7,July,Mardi,3.861742800875151,11.520971943019246,Clair
ACC-00113,Rue de Natchigal,Excès de vitesse,Taxi,Autre,Dommages matériels,15,21,Homme,2024-06-21,2024,6,June,Vendredi,3.862,11.519,Brouillard
ACC-00114,Avenue de l'Indépendance,Utilisation du téléphone,Véhicule utilitaire,Particulier,Dommages matériels,10,47,Femme,2024-07-27,2024,7,July,Samedi,3.863,11.521,Pluie
ACC-00115,Avenue Amadou Ahidjo,Excès de vitesse,Véhicule tourisme,Chauffeur professionnel,Dommages matériels,19,51,Homme,2023-12-23,2023,12,December,Samedi,3.866,11.518,Nuit
ACC-00116,Rue de Natchigal,Excès de vitesse,Taxi,Particulier,Dommages matériels,14,28,Femme,2020-12-30,2020,12,December,Mercredi,3.862,11.519,Pluie
ACC-00117,Avenue de l'Indépendance,Conduite en état d'ébriété,Taxi,Particulier,Dommages matériels,15,18,Homme,2020-06-29,2020,6,June,Lundi,3.863,11.521,Pluie
ACC-00118,Carrefour Poste Centrale,Excès de vitesse,Taxi,Particulier,Dommages matériels,8,53,Homme,2022-01-03,2022,1,January,Lundi,3.861742800875151,11.520971943019246,Clair
ACC-00119,Rue de Natchigal,Défaillance technique,Véhicule utilitaire,Autre,Dommages matériels,21,21,Femme,2022-05-25,2022,5,May,Mercredi,3.862,11.519,Pluie
ACC-00120,Rue Narvick,Excès de vitesse,Véhicule tourisme,Particulier,Dommages matériels,1,28,Homme,2022-09-20,2022,9,September,Mardi,3.8654733025149355,11.519040752498785,Clair
ACC-00121,Avenue de l'Indépendance,Utilisation du téléphone,Véhicule tourisme,Autre,Dommages matériels,17,18,Homme,2021-10-22,2021,10,October,Vendredi,3.863,11.521,Pluie
ACC-00122,Rue de Natchigal,Défaillance technique,Moto,Particulier,Dommages matériels,17,39,Femme,2020-08-31,2020,8,August,Lundi,3.862,11.519,Clair
ACC-00123,Carrefour J'aime mon pays,Conduite en état d'ébriété,Véhicule tourisme,Chauffeur professionnel,Blessures corporelles,19,23,Homme,2020-11-08,2020,11,November,Dimanche,3.8659711733356867,11.515636718507722,Clair
ACC-00124,Carrefour Poste Centrale,Défaillance technique,Taxi,Particulier,Dommages matériels,1,45,Homme,2020-03-16,2020,3,March,Lundi,3.861742800875151,11.520971943019246,Clair
ACC-00125,Carrefour J'aime mon pays,Conduite en état d'ébriété,Moto,Particulier,Dommages matériels,16,26,Homme,2020-09-18,2020,9,September,Vendredi,3.8659711733356867,11.515636718507722,Clair
ACC-00126,Boulevard du 20 Mai,Infrastructure déficiente,Taxi,Particulier,Blessures corporelles,21,43,Homme,2020-08-18,2020,8,August,Mardi,3.864269053436714,11.517238307980946,Clair
ACC-00127,Avenue de l'Indépendance,Excès de vitesse,Taxi,Autre,Dommages matériels,19,21,Femme,2021-12-03,2021,12,December,Vendredi,3.863,11.521,Nuit
ACC-00128,Rue de Natchigal,Non-respect des priorités,Véhicule tourisme,Particulier,Blessures corporelles,18,53,Homme,2023-11-04,2023,11,November,Samedi,3.862,11.519,Clair
ACC-00129,Carrefour Poste Centrale,Conduite en état d'ébriété,Véhicule tourisme,Autre,Dommages matériels,21,27,Homme,2021-10-07,2021,10,October,Jeudi,3.861742800875151,11.520971943019246,Pluie
ACC-00130,Carrefour Pharmacie du Soleil,Conduite en état d'ébriété,Moto,Transporteur,Dommages matériels,15,36,Homme,2023-08-25,2023,8,August,Vendredi,3.8671058413609636,11.516773975142678,Clair
ACC-00131,Boulevard du 20 Mai,Non-respect des priorités,Taxi,Particulier,Mortels,5,18,Homme,2024-11-22,2024,11,November,Vendredi,3.864269053436714,11.517238307980946,Clair
ACC-00132,Carrefour J'aime mon pays,Utilisation du téléphone,Taxi,Particulier,Dommages matériels,15,34,Homme,2023-11-12,2023,11,November,Dimanche,3.8659711733356867,11.515636718507722,Clair
ACC-00133,Carrefour Poste Centrale,Excès de vitesse,Véhicule tourisme,Particulier,Dommages matériels,0,18,Homme,2022-01-26,2022,1,January,Mercredi,3.861742800875151,11.520971943019246,Clair
ACC-00134,Carrefour J'aime mon pays,Excès de vitesse,Véhicule tourisme,Autre,Dommages matériels,14,34,Homme,2024-12-05,2024,12,December,Jeudi,3.8659711733356867,11.515636718507722,Clair
ACC-00135,Rue de Natchigal,Utilisation du téléphone,Bus,Particulier,Dommages matériels,20,20,Homme,2023-09-10,2023,9,September,Dimanche,3.862,11.519,Clair
ACC-00136,Carrefour J'aime mon pays,Non-respect des priorités,Véhicule tourisme,Chauffeur professionnel,Dommages matériels,20,32,Homme,2022-04-21,2022,4,April,Jeudi,3.8659711733356867,11.515636718507722,Clair
ACC-00137,Carrefour Pharmacie du Soleil,Infrastructure déficiente,Taxi,Particulier,Dommages matériels,17,41,Homme,2022-05-28,2022,5,May,Samedi,3.8671058413609636,11.516773975142678,Nuit
ACC-00138,Avenue Amadou Ahidjo,Utilisation du téléphone,Véhicule tourisme,Particulier,Dommages matériels,18,18,Homme,2024-01-19,2024,1,January,Vendredi,3.866,11.518,Clair
ACC-00139,Boulevard du 20 Mai,Infrastructure déficiente,Véhicule utilitaire,Chauffeur professionnel,Dommages matériels,18,34,Homme,2024-03-15,2024,3,March,Vendredi,3.864269053436714,11.517238307980946,Brouillard
ACC-00140,Rue de Natchigal,Utilisation du téléphone,Moto,Chauffeur professionnel,Dommages matériels,7,41,Femme,2023-09-28,2023,9,September,Jeudi,3.862,11.519,Nuit
ACC-00141,Rue de Natchigal,Excès de vitesse,Taxi,Particulier,Dommages matériels,3,41,Homme,2021-05-30,2021,5,May,Dimanche,3.862,11.519,Pluie
